"TB mortality, all forms (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Brunei Darussalam,10,10,10,10,10,10,10,10,10,6,9,7,6,7,7,6,5,7
Bulgaria,4,4,5,5,5,5,5,6,6,5,5,6,6,5,5,5,5,5
Burkina Faso,32,35,37,39,41,43,45,49,53,58,63,69,74,76,76,74,71,69
Burundi,43,49,56,61,65,68,71,71,86,81,87,98,106,110,110,109,107,102
Cambodia,119,119,120,120,120,118,120,117,115,112,111,109,104,100,96,92,91,89
Cameroon,24,28,31,34,38,41,44,49,51,54,56,59,58,53,53,45,42,39
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cape Verde,50,48,47,46,45,44,44,43,43,42,42,32,41,41,40,32,32,31
Cayman Islands,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
Central African Republic,47,53,58,64,69,74,56,87,95,103,113,116,110,134,136,120,102,100
Chad,31,34,37,40,43,46,55,65,72,66,73,79,89,103,99,94,91,90
Chile,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1
China,25,24,24,23,22,22,21,21,20,20,20,20,19,18,17,16,15,15
Colombia,9,9,9,9,9,8,8,8,8,7,6,7,7,7,7,6,5,5
Comoros,15,14,13,12,11,10,10,11,9,10,9,8,8,8,7,7,7,6
"Congo, Rep.",44,49,52,55,57,59,92,102,78,118,43,57,66,99,91,91,96,90
Cook Islands,0,2,10,8,6,3,2,1,0,4,1,10,2,0,5,1,2,4
Costa Rica,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1
Croatia,12,12,12,12,11,11,10,10,10,9,7,7,7,7,7,7,6,6
Cuba,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Czech Republic,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Cote d'Ivoire,48,56,61,67,72,78,84,91,99,110,125,151,145,148,147,145,136,128
"Korea, Dem. Rep.",113,113,112,112,111,111,111,111,111,110,105,98,90,86,83,85,83,65
"Congo, Dem. Rep.",35,39,41,44,47,51,53,58,59,65,73,79,86,87,87,86,85,82
Denmark,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,126,127,129,132,136,139,78,73,101,94,105,102,133,137,146,148,154,157
Dominica,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,1,2
Dominican Republic,27,27,26,26,25,25,22,24,23,22,21,20,17,15,15,14,14,13
Ecuador,41,40,38,37,36,35,35,32,33,32,31,30,27,26,25,25,24,23
Egypt,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2
El Salvador,15,14,14,13,13,12,13,11,11,10,10,10,9,9,8,8,8,7
Equatorial Guinea,19,22,23,25,27,29,36,38,37,40,44,83,89,93,69,68,66,87
Eritrea,20,20,21,21,22,22,23,22,21,14,14,14,14,14,15,16,17,16
Estonia,4,4,5,5,6,7,8,9,10,10,10,9,9,9,8,7,7,6
Ethiopia,40,45,50,55,59,64,64,65,69,76,79,88,92,97,98,98,96,92
Fiji,9,8,8,7,7,6,6,6,5,5,5,4,4,4,4,4,3,4
Finland,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
French Polynesia,7,6,9,9,10,11,6,4,5,5,5,5,3,3,2,3,2,3
Gabon,46,45,46,47,50,49,55,59,63,70,86,44,65,63,56,72,74,76
Gambia,38,38,38,38,39,39,40,40,40,64,65,67,46,47,48,50,54,55
Georgia,7,6,7,7,8,9,10,13,12,13,14,14,14,14,13,11,9,9
Germany,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Ghana,59,58,58,59,59,60,62,58,58,57,55,54,54,53,53,53,52,52
Greece,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Grenada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guam,11,10,10,11,15,10,9,9,9,9,4,5,6,5,5,3,5,2
Guatemala,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
Guinea,28,29,30,32,33,35,35,38,41,43,46,49,53,56,59,65,66,70
Guinea-Bissau,40,40,41,42,43,44,46,52,56,58,42,44,48,47,42,45,43,44
Guyana,6,7,6,8,10,13,15,16,17,18,18,21,22,24,22,22,22,24
Haiti,81,82,83,84,84,84,85,84,82,80,79,78,76,74,73,71,71,71
Honduras,17,16,16,15,15,14,16,16,12,10,6,7,7,9,10,10,10,10
Hungary,6,6,6,6,6,6,7,6,6,5,5,4,4,4,3,3,3,2
Iceland,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,42,42,42,43,43,44,44,45,45,44,43,40,38,35,31,30,29,28
Indonesia,92,89,85,82,79,75,73,70,67,63,62,59,54,51,47,43,40,39
Iran,4,4,5,4,5,5,5,4,4,4,4,4,3,3,3,3,3,3
Iraq,12,12,12,12,12,12,8,8,8,8,10,10,9,9,10,10,11,11
Ireland,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1
Israel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italy,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jamaica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3
Jordan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,8,7,7,7,7,8,8,12,12,17,15,17,18,20,19,18,18,17
Kenya,25,27,33,41,49,61,69,83,93,102,113,105,103,100,98,90,73,65
Kiribati,116,111,107,103,100,96,81,82,65,63,62,71,68,55,45,49,46,49
Kuwait,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2
Kyrgyzstan,8,8,8,9,9,11,14,16,18,19,20,20,20,19,18,18,18,18
Laos,38,37,36,35,34,33,30,29,28,28,28,27,27,26,26,24,24,24
Latvia,4,5,5,5,6,8,10,12,12,12,12,12,12,11,10,9,9,8
Lebanon,5,5,5,5,5,5,4,4,3,3,3,2,2,2,2,2,2,2
Lesotho,28,31,34,38,43,49,51,41,57,219,76,79,92,89,93,115,85,263
Liberia,57,59,61,63,65,66,60,62,58,60,65,65,57,65,56,63,60,62
Libyan Arab Jamahiriya,5,5,5,5,5,5,4,4,4,2,2,2,2,1,1,1,1,1
Lithuania,4,5,5,6,6,7,8,9,11,11,10,10,10,9,9,8,7,9
Luxembourg,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Madagascar,38,38,38,38,38,38,38,38,39,40,41,42,43,43,44,47,45,48
Malawi,62,73,85,96,105,110,111,117,119,118,126,119,123,119,116,116,109,102
Malaysia,21,21,20,20,19,19,19,24,24,24,18,18,19,18,19,18,18,18
Maldives,7,7,6,6,5,5,5,7,7,7,7,7,6,5,5,5,5,4
Mali,74,74,74,75,75,76,77,79,81,83,85,86,86,87,88,89,90,90
Malta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,63,63,63,64,64,64,66,64,73,75,78,81,83,85,67,76,75,75
Mauritius,5,5,4,4,4,4,5,5,4,3,3,4,4,4,3,4,4,4
Mexico,11,10,10,9,8,8,7,7,6,6,5,4,4,4,4,3,3,2
"Micronesia, Fed. Sts.",33,31,29,28,26,24,23,27,26,25,20,19,17,16,15,14,13,9
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,48,47,47,46,45,44,38,38,38,37,37,36,34,35,29,28,21,29
Montserrat,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1
Morocco,13,13,13,12,12,12,11,11,11,10,10,10,9,9,9,9,9,8
Mozambique,37,42,46,50,55,61,68,77,87,98,111,124,133,139,140,138,133,127
Myanmar,52,53,53,53,54,54,47,48,49,47,43,39,33,23,18,13,13,13
Namibia,84,96,107,119,132,146,57,55,57,71,87,82,100,97,109,118,123,102
Nauru,19,32,30,29,9,27,27,26,26,7,4,8,5,5,19,6,24,3
Nepal,51,49,48,47,46,45,43,41,39,32,29,28,27,25,24,24,23,23
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands Antilles,3,3,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1
New Caledonia,10,10,10,7,6,6,4,8,7,5,4,4,3,3,2,2,2,2
New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,18,17,16,16,15,14,13,13,12,12,11,11,10,10,9,9,9,6
Niger,36,36,36,37,37,37,39,35,35,35,35,36,37,36,38,37,38,38
Nigeria,35,40,43,47,52,56,60,66,72,78,86,93,100,103,102,101,97,93
Niue,13,13,12,12,11,11,15,0,0,40,0,0,82,0,0,0,0,0
Northern Mariana Islands,13,17,26,16,15,15,16,24,23,19,10,13,8,9,7,6,8,7
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pakistan,49,49,49,49,49,49,49,49,48,49,49,48,45,44,42,38,34,29
Palau,12,8,5,30,47,21,7,7,4,31,8,7,6,8,5,12,6,8
Panama,7,7,7,7,7,7,7,8,7,7,7,6,4,5,4,4,4,4
Papua New Guinea,68,67,66,66,65,64,66,64,58,60,59,58,54,52,48,48,51,60
Paraguay,12,12,12,12,12,12,9,12,13,13,12,12,12,12,12,11,10,10
Peru,34,32,31,29,27,26,29,28,23,25,24,22,21,21,19,18,16,16
Philippines,87,86,84,83,81,82,81,78,74,70,57,53,50,47,46,44,41,41
Poland,8,8,8,8,8,7,7,6,6,5,5,5,4,4,4,4,4,3
Portugal,7,6,6,6,6,6,6,5,5,5,5,4,4,5,4,4,4,3
Puerto Rico,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Qatar,6,6,6,6,7,8,7,7,7,7,7,7,7,7,6,6,7,7
"Korea, Rep.",19,16,15,13,12,11,11,10,9,8,9,8,9,9,9,10,10,10
Moldova,9,8,9,9,11,12,14,15,18,19,20,20,20,20,19,19,19,19
Romania,8,9,10,11,12,13,15,15,17,18,19,19,20,20,19,19,18,16
Russian Federation,7,7,7,8,10,12,15,17,19,19,21,21,20,20,20,18,18,18
Rwanda,67,73,76,79,82,85,89,92,96,105,118,130,138,141,142,138,131,128
Saint Kitts and Nevis,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1
Saint Lucia,3,3,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2
Saint Vincent and the Grenadines,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5
Samoa,5,4,4,4,4,4,4,4,5,3,3,4,2,3,3,3,3,3
San Marino,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sao Tome and Principe,38,37,36,35,34,33,32,31,30,30,30,29,29,27,28,27,26,26
Saudi Arabia,5,4,4,4,5,5,5,5,6,6,6,5,5,5,5,5,5,5
Senegal,42,42,42,42,42,43,43,45,47,50,50,52,55,55,58,60,62,64
Seychelles,9,8,8,8,7,7,5,4,5,7,5,5,4,5,4,5,5,5
Sierra Leone,53,57,60,65,69,73,72,78,85,90,97,103,111,120,128,135,142,149
Singapore,6,6,6,5,5,5,5,5,5,5,4,4,4,3,3,3,2,3
Slovakia,7,7,7,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3
Slovenia,5,5,5,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2
Solomon Islands,70,66,61,57,53,50,42,39,37,36,33,32,30,28,26,24,23,21
Somalia,86,85,84,84,83,82,76,75,75,75,74,69,69,65,55,52,57,63
South Africa,78,78,82,112,114,116,126,133,144,129,183,213,194,227,233,249,232,230
Spain,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3
Sri Lanka,10,10,10,10,10,10,10,9,9,9,10,9,9,9,9,7,8,8
Sudan,62,63,64,65,65,66,67,68,63,64,64,66,64,66,67,68,69,71
Suriname,14,13,10,11,10,11,12,15,18,18,18,18,19,20,22,24,26,29
Swaziland,79,83,86,96,113,137,163,200,240,324,362,415,237,239,277,309,322,317
Sweden,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Switzerland,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Syrian Arab Republic,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2
Tajikistan,20,17,12,9,9,12,16,17,19,20,23,26,30,31,35,38,42,46
Thailand,30,31,31,31,31,31,31,30,28,26,25,22,22,21,21,21,21,21
"Macedonia, FYR",11,11,11,11,11,10,10,9,9,8,7,6,6,6,5,5,5,5
Timor-Leste,73,72,72,71,71,70,70,70,70,70,70,70,37,45,46,46,48,47
Togo,88,91,94,98,102,104,108,119,116,120,122,124,131,129,130,131,133,138
Tokelau,33,33,33,26,0,68,0,12,12,0,0,0,24,0,12,0,0,0
Tonga,6,6,6,5,5,5,3,4,2,4,3,5,3,3,4,3,3,2
Trinidad and Tobago,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tunisia,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
Turkey,8,8,8,8,7,7,7,7,7,6,5,5,5,5,5,5,5,5
Turkmenistan,9,9,9,9,9,8,9,11,13,14,13,13,12,12,11,10,10,9
Turks and Caicos Islands,5,5,4,4,4,4,4,4,3,1,1,3,2,2,2,2,2,1
Tuvalu,62,59,56,53,50,48,46,44,43,41,40,39,37,36,35,29,30,17
Uganda,69,106,115,125,129,133,130,99,100,98,103,104,110,114,110,107,100,93
Ukraine,6,5,6,6,7,7,8,9,10,11,12,13,14,15,15,15,14,15
United Arab Emirates,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
United Kingdom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Tanzania,42,48,53,58,64,69,74,80,82,86,89,88,92,91,88,86,82,78
Virgin Islands (U.S.),3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Uruguay,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Uzbekistan,10,9,9,11,11,11,10,11,11,12,12,14,15,15,16,16,16,16
Vanuatu,31,30,28,27,25,24,23,21,20,18,16,14,16,15,14,15,12,12
Venezuela,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Viet Nam,33,33,32,32,32,31,29,26,25,25,25,25,24,24,24,24,24,24
Wallis et Futuna,15,40,7,19,19,10,10,12,10,10,11,2,28,12,5,4,7,3
West Bank and Gaza,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3
Yemen,18,17,18,17,17,16,16,15,14,13,12,12,12,11,11,10,10,10
Zambia,126,153,182,203,218,229,238,247,250,258,255,274,156,138,137,138,128,115
Zimbabwe,140,161,176,193,208,225,239,253,141,155,185,197,216,253,253,263,268,265
